Mode,Operator,Vehicle Tail No,Plate No,Origin,Destination,Departure Date,Departure Time,Arival Date,Arrival Time,Transport Class,Rate,Additional Price,Rate Tier,Tickets Available,Has Bed,Rate Code
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,02/10/2026,9:30 am,03/10/2026,10:30 am,Tourist Class,0,"2,703.25",Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,09/10/2026,9:30 am,10/10/2026,10:30 am,Tourist Class,0,2703.25,Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,16/10/2026,9:30 am,17/10/2026,10:30 am,Tourist Class,0,2703.25,Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,23/10/2026,9:30 am,24/10/2026,10:30 am,Tourist Class,0,2703.25,Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,30/10/2026,9:30 am,31/10/2026,10:30 am,Tourist Class,0,2703.25,Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,06/11/2026,9:30 am,07/11/2026,10:30 am,Tourist Class,0,2703.25,Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,13/11/2026,9:30 am,14/11/2026,10:30 am,Tourist Class,0,2703.25,Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,20/11/2026,9:30 am,21/11/2026,10:30 am,Tourist Class,0,2703.25,Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,27/11/2026,9:30 am,28/11/2026,10:30 am,Tourist Class,0,2703.25,Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,04/12/2026,9:30 am,05/12/2026,10:30 am,Tourist Class,0,"2,703.25",Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,11/12/2026,9:30 am,12/12/2026,10:30 am,Tourist Class,0,"3,903.26",Regular,50,Yes,REG
Ferry,2GO,MV St. Michael the Archangel,,Batangas,Bacolod,18/12/2026,9:30 am,19/12/2026,10:30 am,Tourist Class,0,"4,544.53",Regular,50,Yes,REG
