Operator,Mode,Vehicle,Origin,Destination,Departure Date,Departure Time,Arrival Time,Return Date,Accommodation,Price,Additional Price,Tickets Available,Rate Tier,Has Bed
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,07:30,17:30,,Reclining Seat,2170,0,50,regular,0
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,07:30,17:30,,Economy Bed Bunk,2270,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,07:30,17:30,,Tourist Bed Bunk,2790,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,07:30,17:30,,Cabin,3720,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,07:30,17:30,,VIP Room 2-3pax,8300,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,07:30,17:30,,VIP Room 5pax,14400,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,16:00,02:00,,Reclining Seat,2170,0,50,regular,0
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,16:00,02:00,,Economy Bed Bunk,2270,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,16:00,02:00,,Tourist Bed Bunk,2790,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,16:00,02:00,,Cabin,3720,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,16:00,02:00,,VIP Room 2-3pax,8300,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,16:00,02:00,,VIP Room 5pax,14400,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,19:30,05:30,,Reclining Seat,2170,0,50,regular,0
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,19:30,05:30,,Economy Bed Bunk,2270,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,19:30,05:30,,Tourist Bed Bunk,2790,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,19:30,05:30,,Cabin,3720,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,19:30,05:30,,VIP Room 2-3pax,8300,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,03/09/2026,19:30,05:30,,VIP Room 5pax,14400,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,07:30,17:30,,Reclining Seat,2170,0,50,regular,0
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,07:30,17:30,,Economy Bed Bunk,2270,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,07:30,17:30,,Tourist Bed Bunk,2790,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,07:30,17:30,,Cabin,3720,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,07:30,17:30,,VIP Room 2-3pax,8300,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,07:30,17:30,,VIP Room 5pax,14400,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,16:00,02:00,,Reclining Seat,2170,0,50,regular,0
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,16:00,02:00,,Economy Bed Bunk,2270,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,16:00,02:00,,Tourist Bed Bunk,2790,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,16:00,02:00,,Cabin,3720,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,16:00,02:00,,VIP Room 2-3pax,8300,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,16:00,02:00,,VIP Room 5pax,14400,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,19:30,05:30,,Reclining Seat,2170,0,50,regular,0
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,19:30,05:30,,Economy Bed Bunk,2270,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,19:30,05:30,,Tourist Bed Bunk,2790,0,50,regular,1
Starlite,ferry,ARCHER,Batangas,Caticlan,04/09/2026,19:30,05:30,,Cabin,3720,0,50,regular,1
